cust_id,lookalikes
C0001,"[('C0137', 0.9798), ('C0191', 0.9708), ('C0011', 0.951)]"
C0002,"[('C0088', 0.9869), ('C0027', 0.982), ('C0043', 0.9743)]"
C0003,"[('C0190', 0.98), ('C0147', 0.9548), ('C0174', 0.9306)]"
C0004,"[('C0113', 0.9827), ('C0165', 0.9825), ('C0012', 0.957)]"
C0005,"[('C0128', 0.9987), ('C0140', 0.9919), ('C0123', 0.989)]"
C0006,"[('C0048', 0.9731), ('C0187', 0.9509), ('C0107', 0.9428)]"
C0007,"[('C0146', 0.9957), ('C0078', 0.9955), ('C0092', 0.9812)]"
C0008,"[('C0018', 0.9512), ('C0109', 0.9352), ('C0068', 0.904)]"
C0009,"[('C0061', 0.9713), ('C0167', 0.9412), ('C0198', 0.9388)]"
C0010,"[('C0121', 0.9698), ('C0111', 0.9529), ('C0172', 0.9389)]"
C0011,"[('C0107', 0.9768), ('C0001', 0.951), ('C0137', 0.9319)]"
C0012,"[('C0153', 0.9849), ('C0163', 0.978), ('C0102', 0.9749)]"
C0013,"[('C0148', 0.9914), ('C0104', 0.9894), ('C0188', 0.9856)]"
C0014,"[('C0119', 0.9832), ('C0063', 0.983), ('C0062', 0.9591)]"
C0015,"[('C0058', 0.9934), ('C0131', 0.9735), ('C0020', 0.9576)]"
C0016,"[('C0185', 0.9871), ('C0079', 0.9678), ('C0050', 0.9676)]"
C0017,"[('C0075', 0.9694), ('C0124', 0.9532), ('C0041', 0.9402)]"
C0018,"[('C0068', 0.9621), ('C0008', 0.9512), ('C0046', 0.9398)]"
C0019,"[('C0166', 0.995), ('C0073', 0.9872), ('C0197', 0.9748)]"
C0020,"[('C0131', 0.9653), ('C0015', 0.9576), ('C0058', 0.9358)]"
